대륙,국적,성별(1),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
오세아니아주,오스트레일리아,여자,6896 ,3541 ,5630 ,9926 ,6222 ,6160 ,5477 ,6333 ,8137 ,7439 ,6171 ,9380 
오세아니아주,오스트레일리아,제3의성,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 
오세아니아주,뉴질랜드,남자,1588 ,1171 ,1463 ,2137 ,1862 ,2050 ,1581 ,1834 ,2246 ,2158 ,1934 ,2503 
오세아니아주,뉴질랜드,여자,1196 ,743 ,1007 ,1694 ,1353 ,1534 ,1266 ,1342 ,1837 ,1632 ,1472 ,1901 
오세아니아주,피지,남자,296 ,164 ,119 ,137 ,207 ,180 ,144 ,183 ,154 ,55 ,58 ,44 
오세아니아주,피지,여자,182 ,75 ,77 ,77 ,132 ,133 ,113 ,141 ,120 ,31 ,24 ,28 
오세아니아주,키리바시,남자,53 ,75 ,76 ,95 ,69 ,67 ,61 ,50 ,46 ,70 ,34 ,79 
오세아니아주,키리바시,여자,10 ,3 ,7 ,5 ,12 ,26 ,14 ,4 ,4 ,5 ,3 ,3 
오세아니아주,미이크로네시아,남자,6 ,11 ,15 ,11 ,15 ,35 ,36 ,49 ,21 ,11 ,17 ,8 
오세아니아주,미이크로네시아,여자,10 ,7 ,8 ,9 ,18 ,22 ,24 ,47 ,20 ,11 ,10 ,13 
오세아니아주,팔라우,남자,11 ,12 ,9 ,1 ,12 ,17 ,25 ,19 ,15 ,8 ,10 ,12 
오세아니아주,팔라우,여자,12 ,12 ,11 ,5 ,23 ,26 ,29 ,20 ,27 ,27 ,13 ,19 
오세아니아주,사모아,남자,1 ,11 ,20 ,12 ,73 ,13 ,13 ,5 ,50 ,58 ,11 ,7 
오세아니아주,사모아,여자,1 ,0 ,1 ,1 ,1 ,5 ,5 ,2 ,3 ,8 ,10 ,5 
오세아니아주,파푸아뉴기니,남자,14 ,5 ,20 ,29 ,11 ,12 ,20 ,16 ,20 ,35 ,32 ,8 
오세아니아주,파푸아뉴기니,여자,3 ,6 ,4 ,13 ,8 ,7 ,10 ,10 ,2 ,10 ,14 ,5 
오세아니아주,바누아투,남자,4 ,13 ,0 ,11 ,12 ,28 ,29 ,25 ,17 ,30 ,10 ,7 
오세아니아주,바누아투,여자,0 ,1 ,2 ,2 ,3 ,3 ,0 ,1 ,0 ,4 ,1 ,3 
오세아니아주,통가,남자,10 ,15 ,10 ,11 ,6 ,3 ,9 ,6 ,6 ,8 ,12 ,6 
오세아니아주,통가,여자,4 ,7 ,3 ,9 ,7 ,1 ,3 ,2 ,7 ,8 ,9 ,3 
오세아니아주,솔로몬군도,남자,4 ,6 ,32 ,5 ,4 ,10 ,9 ,12 ,5 ,13 ,10 ,4 
오세아니아주,솔로몬군도,여자,1 ,1 ,4 ,3 ,3 ,3 ,5 ,4 ,4 ,5 ,5 ,1 
오세아니아주,투발루,남자,1 ,6 ,12 ,12 ,10 ,17 ,5 ,9 ,8 ,4 ,2 ,0 
오세아니아주,투발루,여자,0 ,2 ,0 ,19 ,10 ,8 ,0 ,6 ,1 ,2 ,2 ,1 
오세아니아주,마샬군도,남자,3 ,2 ,3 ,2 ,12 ,5 ,6 ,7 ,3 ,7 ,3 ,0 
오세아니아주,마샬군도,여자,1 ,0 ,4 ,4 ,0 ,5 ,8 ,4 ,0 ,6 ,2 ,1 
오세아니아주,나우루,남자,1 ,1 ,1 ,5 ,4 ,1 ,7 ,0 ,2 ,4 ,0 ,0 
오세아니아주,나우루,여자,0 ,1 ,0 ,3 ,1 ,4 ,1 ,0 ,1 ,1 ,0 ,0 
오세아니아주,미령사모아,남자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
오세아니아주,미령사모아,여자,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
아프리카주,남아프리카공화국,남자,571 ,618 ,568 ,740 ,765 ,571 ,587 ,1157 ,706 ,792 ,491 ,532 
아프리카주,남아프리카공화국,여자,460 ,600 ,391 ,433 ,305 ,416 ,375 ,758 ,514 ,406 ,220 ,398 
아프리카주,에티오피아,남자,454 ,465 ,548 ,539 ,547 ,446 ,668 ,702 ,653 ,626 ,613 ,471 
아프리카주,에티오피아,여자,30 ,29 ,31 ,35 ,26 ,29 ,51 ,67 ,58 ,30 ,28 ,31 
아프리카주,이집트,남자,372 ,394 ,477 ,424 ,290 ,425 ,460 ,376 ,502 ,593 ,489 ,411 
아프리카주,이집트,여자,35 ,64 ,59 ,79 ,45 ,82 ,113 ,99 ,85 ,78 ,66 ,47 
아프리카주,모로코,남자,151 ,149 ,204 ,255 ,162 ,271 ,254 ,343 ,292 ,277 ,294 ,221 
아프리카주,모로코,여자,101 ,140 ,186 ,246 ,96 ,245 ,289 ,357 ,231 ,179 ,176 ,149 
아프리카주,리비아,남자,340 ,483 ,440 ,350 ,210 ,303 ,421 ,296 ,627 ,554 ,467 ,321 
아프리카주,리비아,여자,6 ,15 ,24 ,11 ,5 ,19 ,25 ,31 ,6 ,31 ,18 ,8 
아프리카주,나이지리아,남자,154 ,252 ,195 ,139 ,166 ,182 ,184 ,244 ,411 ,212 ,179 ,179 
아프리카주,나이지리아,여자,40 ,57 ,54 ,33 ,37 ,49 ,43 ,85 ,195 ,57 ,52 ,29 
아프리카주,가나,남자,169 ,183 ,235 ,179 ,218 ,205 ,245 ,291 ,334 ,283 ,226 ,140 
아프리카주,가나,여자,24 ,32 ,31 ,22 ,28 ,46 ,56 ,47 ,57 ,48 ,37 ,30 
아프리카주,케냐,남자,65 ,115 ,132 ,163 ,112 ,103 ,134 ,163 ,139 ,184 ,101 ,68 
아프리카주,케냐,여자,27 ,48 ,43 ,84 ,42 ,40 ,72 ,90 ,65 ,41 ,87 ,49 
아프리카주,튀니지,남자,66 ,44 ,102 ,96 ,71 ,128 ,113 ,116 ,114 ,133 ,128 ,112 
아프리카주,튀니지,여자,39 ,24 ,46 ,40 ,30 ,66 ,78 ,86 ,56 ,62 ,47 ,56 
아프리카주,알제리,남자,72 ,71 ,162 ,129 ,36 ,86 ,84 ,82 ,155 ,135 ,120 ,120 
아프리카주,알제리,여자,9 ,30 ,28 ,29 ,10 ,46 ,31 ,35 ,34 ,41 ,16 ,17 
아프리카주,모리셔스,남자,38 ,30 ,113 ,158 ,172 ,60 ,53 ,104 ,101 ,164 ,72 ,43 
아프리카주,모리셔스,여자,13 ,9 ,20 ,41 ,21 ,65 ,23 ,33 ,25 ,27 ,23 ,16 
