년,월,국적지역,입국자수
2018,2,브라질,1593
2018,3,브라질,1613
2018,4,브라질,1824
2018,5,브라질,1743
2018,6,브라질,1636
2018,7,브라질,1632
2018,8,브라질,1800
2018,9,브라질,1753
2018,10,브라질,1995
2018,11,브라질,1611
2018,12,브라질,1438
2018,1,브루나이,303
2018,2,브루나이,314
2018,3,브루나이,585
2018,4,브루나이,324
2018,5,브루나이,158
2018,6,브루나이,279
2018,7,브루나이,187
2018,8,브루나이,306
2018,9,브루나이,334
2018,10,브루나이,405
2018,11,브루나이,538
2018,12,브루나이,1160
2018,1,사모아,2
2018,2,사모아,18
2018,3,사모아,7
2018,4,사모아,24
2018,5,사모아,49
2018,6,사모아,14
2018,7,사모아,18
2018,8,사모아,12
2018,9,사모아,8
2018,10,사모아,40
2018,11,사모아,37
2018,12,사모아,10
2018,1,사우디아라비아,762
2018,2,사우디아라비아,569
2018,3,사우디아라비아,659
2018,4,사우디아라비아,876
2018,5,사우디아라비아,589
2018,6,사우디아라비아,1408
2018,7,사우디아라비아,1841
2018,8,사우디아라비아,1998
2018,9,사우디아라비아,840
2018,10,사우디아라비아,887
2018,11,사우디아라비아,639
2018,12,사우디아라비아,700
2018,1,산마리노,0
2018,2,산마리노,14
2018,3,산마리노,1
2018,4,산마리노,5
2018,5,산마리노,1
2018,6,산마리노,2
2018,7,산마리노,0
2018,8,산마리노,3
2018,9,산마리노,0
2018,10,산마리노,2
2018,11,산마리노,2
2018,12,산마리노,0
2018,1,상투메프린시페,0
2018,2,상투메프린시페,0
2018,3,상투메프린시페,0
2018,4,상투메프린시페,1
2018,5,상투메프린시페,4
2018,6,상투메프린시페,0
2018,7,상투메프린시페,0
2018,8,상투메프린시페,0
2018,9,상투메프린시페,3
2018,10,상투메프린시페,3
2018,11,상투메프린시페,0
2018,12,상투메프린시페,0
2018,1,세네갈,23
2018,2,세네갈,56
2018,3,세네갈,44
2018,4,세네갈,34
2018,5,세네갈,105
2018,6,세네갈,52
2018,7,세네갈,66
2018,8,세네갈,72
2018,9,세네갈,62
2018,10,세네갈,104
2018,11,세네갈,41
2018,12,세네갈,27
2018,1,세르비아,2
2018,2,세르비아,16
2018,3,세르비아,1
2018,4,세르비아,10
2018,5,세르비아,9
2018,6,세르비아,3
2018,7,세르비아,9
2018,8,세르비아,2
2018,9,세르비아,11
2018,10,세르비아,7
2018,11,세르비아,2
2018,12,세르비아,2
2018,1,세르비아몬테네그로,1
2018,2,세르비아몬테네그로,0
2018,3,세르비아몬테네그로,3
2018,4,세르비아몬테네그로,0
2018,5,세르비아몬테네그로,0
2018,6,세르비아몬테네그로,0
2018,7,세르비아몬테네그로,0
2018,8,세르비아몬테네그로,0
2018,9,세르비아몬테네그로,0
