년,월,국적지역,입국자수
2026,3,인도네시아,24634
2026,4,인도네시아,26064
2026,5,인도네시아,21546
2026,6,인도네시아,35057
2026,7,인도네시아,26589
2026,8,인도네시아,23297
2026,9,인도네시아,18601
2026,10,인도네시아,34201
2026,11,인도네시아,27786
2026,12,인도네시아,29764
2018,1,일본,145235
2018,2,일본,151451
2018,3,일본,317090
2018,4,일본,227766
2018,5,일본,256814
2018,6,일본,255470
2018,7,일본,252203
2018,8,일본,325581
2018,9,일본,278322
2018,10,일본,293858
2018,11,일본,309162
2018,12,일본,252839
2019,1,일본,155256
2019,2,일본,173967
2019,3,일본,291184
2019,4,일본,219143
2019,5,일본,243300
2019,6,일본,256103
2019,7,일본,263802
2019,8,일본,327559
2019,9,일본,271475
2019,10,일본,281246
2019,11,일본,291826
2019,12,일본,249332
2023,1,일본,146577
2023,2,일본,164230
2023,3,일본,274869
2023,4,일본,206850
2023,5,일본,229636
2023,6,일본,241703
2023,7,일본,248953
2023,8,일본,309101
2023,9,일본,256160
2023,10,일본,265363
2023,11,일본,275327
2023,12,일본,235221
2024,1,일본,155967
2024,2,일본,184350
2024,3,일본,329426
2024,4,일본,219274
2024,5,일본,254875
2024,6,일본,227792
2024,7,일본,203333
2024,8,일본,285343
2024,9,일본,259598
2024,10,일본,284651
2024,11,일본,308023
2024,12,일본,233072
2025,1,일본,165363
2025,2,일본,203436
2025,3,일본,225999
2025,4,일본,190995
2025,5,일본,205500
2025,6,일본,243448
2025,7,일본,269298
2025,8,일본,310748
2025,9,일본,242075
2025,10,일본,241424
2025,11,일본,243835
2025,12,일본,229641
2026,1,일본,174723
2026,2,일본,221475
2026,3,일본,201898
2026,4,일본,183466
2026,5,일본,194298
2026,6,일본,244726
2026,7,일본,278834
2026,8,일본,310776
2026,9,일본,234693
2026,10,일본,229641
2026,11,일본,228941
2026,12,일본,227508
2018,1,캐나다,12046
2018,2,캐나다,14465
2018,3,캐나다,18616
2018,4,캐나다,20415
2018,5,캐나다,19559
2018,6,캐나다,15501
2018,7,캐나다,17018
2018,8,캐나다,16241
2018,9,캐나다,17152
2018,10,캐나다,20626
2018,11,캐나다,15772
2018,12,캐나다,13426
2019,1,캐나다,11804
2019,2,캐나다,12893
2019,3,캐나다,18781
2019,4,캐나다,21092
2019,5,캐나다,19794
2019,6,캐나다,15468
2019,7,캐나다,16495
2019,8,캐나다,15707
2019,9,캐나다,17108
