국  적,성별,1 월,2 월,3 월,4 월,5 월,6 월,7 월,8 월,9 월,10 월,11 월,12 월
미이크로네시아,여,3,4,9,4,15,15,24,12,9,9,10,9
사  모  아,남,2,16,4,19,44,11,12,10,4,35,30,9
사  모  아,여,0,2,3,5,5,3,6,2,4,5,7,1
솔로몬군도,남,3,7,3,17,13,17,17,15,19,16,3,13
솔로몬군도,여,1,2,1,6,3,2,6,7,4,3,0,1
통      가,남,9,5,1,7,8,3,19,1,11,12,11,3
통      가,여,3,2,0,5,4,4,5,10,4,5,11,2
마 샬 군 도,남,3,0,1,7,7,7,2,2,5,16,2,2
마 샬 군 도,여,4,0,2,7,3,9,3,1,2,5,4,5
나  우  루,남,0,1,2,2,0,2,5,8,6,4,5,1
나  우  루,여,0,0,0,1,1,0,0,1,2,1,0,0
남아프리카 공화국,남,503,598,522,658,703,497,575,813,609,726,498,503
남아프리카 공화국,여,427,518,284,336,399,375,393,690,454,335,220,360
이  집  트,남,576,623,674,730,633,530,644,444,417,502,436,375
이  집  트,여,84,133,140,127,106,119,146,111,69,98,57,43
모  로  코,남,132,195,208,347,220,182,215,224,232,288,196,207
모  로  코,여,99,120,115,199,129,106,188,263,164,202,123,110
에티오피아,남,86,104,160,110,113,453,510,497,513,537,443,421
에티오피아,여,24,30,39,27,28,31,53,45,46,32,34,15
가      나,남,170,215,290,195,293,222,194,216,251,303,182,156
가      나,여,22,30,37,25,59,34,57,46,37,46,34,21
리  비  아,남,97,95,164,272,223,211,379,127,250,235,268,381
리  비  아,여,4,14,7,14,19,8,16,11,24,13,2,15
나이지리아,남,126,189,207,170,266,137,176,194,214,206,157,133
나이지리아,여,30,42,29,55,73,52,43,61,37,70,32,37
케      냐,남,71,92,130,160,120,90,97,134,117,218,72,57
케      냐,여,24,38,59,87,64,33,51,84,51,77,30,20
튀  니  지,남,97,99,88,123,129,121,98,103,121,134,101,104
튀  니  지,여,22,25,21,64,52,46,67,75,48,43,30,39
알  제  리,남,69,74,95,91,62,56,104,105,94,122,84,98
알  제  리,여,12,18,27,17,15,23,22,35,26,19,29,20
탄 자 니 아,남,56,53,51,62,108,80,97,152,79,82,68,27
탄 자 니 아,여,13,14,6,10,24,10,24,30,39,20,12,10
모 리 셔 스,남,21,42,83,131,98,38,56,59,65,128,53,44
모 리 셔 스,여,4,19,26,37,30,7,38,19,10,29,12,41
수      단,남,58,41,76,103,91,42,65,57,93,106,72,47
수      단,여,7,8,9,18,20,9,30,20,16,7,9,8
카  메  룬,남,51,59,79,50,66,54,59,84,63,48,50,21
카  메  룬,여,17,28,17,13,28,27,27,39,26,12,20,12
우  간  다,남,29,38,34,47,54,26,40,99,57,54,53,23
우  간  다,여,9,15,16,31,22,13,25,57,26,33,19,14
마다가스카르,남,1,22,19,24,173,15,10,25,29,139,108,22
마다가스카르,여,4,16,9,11,9,11,8,13,6,10,7,3
세  네  갈,남,23,49,40,30,88,37,41,60,56,79,30,19
세  네  갈,여,0,7,4,4,17,15,25,12,6,25,11,8
콩고민주공화국,남,22,31,26,29,70,45,73,67,39,86,23,6
콩고민주공화국,여,2,10,7,2,20,15,20,30,11,10,5,3
라이베리아,남,31,45,30,39,54,36,39,32,23,33,30,30
라이베리아,여,4,11,11,8,16,10,15,14,6,9,10,11
코트디부아르,남,9,51,16,15,79,13,57,43,17,51,19,6
코트디부아르,여,6,16,1,5,30,7,29,16,7,13,3,2
르  완  다,남,16,39,20,12,33,32,39,56,31,31,18,11
르  완  다,여,9,16,10,7,11,19,26,21,9,16,9,4
짐 바 브 웨,남,10,27,32,32,46,18,19,38,22,58,23,8
짐 바 브 웨,여,7,13,9,10,17,15,16,13,11,5,6,8
잠  비  아,남,11,37,12,17,28,8,24,29,29,14,18,3
잠  비  아,여,6,16,6,6,22,3,11,22,6,5,14,7
앙  골  라,남,18,13,19,15,32,8,15,28,7,34,17,24
앙  골  라,여,7,4,4,5,6,8,12,10,2,10,6,2
모 잠 비 크,남,5,5,11,15,37,29,8,19,26,29,13,12
모 잠 비 크,여,2,3,3,11,17,8,2,11,10,6,3,5
보 츠 와 나,남,6,10,3,17,16,9,14,7,37,13,10,11
보 츠 와 나,여,8,11,4,9,11,4,10,9,29,4,7,9
감  비  아,남,11,12,17,9,34,19,20,16,21,23,7,12
감  비  아,여,0,4,0,0,3,0,1,6,1,0,0,2
기      니,남,10,13,25,13,24,14,13,16,14,19,11,12
기      니,여,2,1,2,1,6,4,5,3,2,4,0,1
말      리,남,9,21,12,20,13,13,9,22,35,16,11,9
말      리,여,0,1,1,1,1,0,2,6,6,4,1,1
토      고,남,8,32,9,3,24,4,18,29,4,9,22,0
토      고,여,2,4,1,1,4,2,3,6,5,2,3,0
가      봉,남,7,11,10,17,21,3,7,13,8,5,3,7
가      봉,여,4,4,2,8,6,4,8,11,5,2,1,5
부  룬  디,남,3,17,5,6,23,1,17,10,14,9,11,5
부  룬  디,여,2,6,0,3,5,1,10,8,1,3,1,1
말  라  위,남,14,9,4,4,10,6,7,26,8,15,3,1
말  라  위,여,6,4,3,0,6,4,4,8,7,5,6,2
베      냉,남,7,22,11,6,15,5,9,19,16,5,8,5
베      냉,여,4,5,0,0,7,2,0,6,2,1,1,0
나 미 비 아,남,8,9,7,11,21,9,4,8,7,10,9,8
나 미 비 아,여,0,2,2,3,7,0,2,3,3,2,4,3
부르키나파소,남,1,6,9,17,23,13,7,18,4,14,4,3
부르키나파소,여,1,3,1,0,4,2,0,2,4,1,1,1
스와질란드,남,0,2,2,8,28,3,7,9,9,3,1,2
스와질란드,여,1,3,1,4,23,2,2,1,6,4,1,0
시에라리온,남,4,5,4,5,12,1,4,2,17,10,4,4
시에라리온,여,3,2,3,1,4,2,0,1,0,1,1,1
콩      고,남,0,8,5,3,11,2,5,5,4,2,5,2
콩      고,여,2,1,1,1,2,0,1,6,0,1,0,2
세 이 셸,남,2,5,5,6,6,3,3,1,4,5,4,2
세 이 셸,여,0,2,0,3,2,2,4,3,2,1,3,0
니  제  르,남,2,5,5,1,14,3,4,9,2,1,1,2
니  제  르,여,0,0,1,1,0,2,0,3,0,0,0,0
남수단공화국,남,1,2,9,3,10,1,1,0,5,7,8,1
남수단공화국,여,1,1,3,0,3,0,0,0,0,0,0,0
코  모  로,남,0,1,2,2,4,2,4,4,7,5,2,1
